Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,7,621.0,89.0,98.6,6.9,7,89.0,6,0,,0,1.29,6.0,7.0,-1.0,-0.14,-0.14,5.6,9.7,-4.1,-0.59,-3.78,Matches
Matty Cash,pl POL,DF,28-072,7,606.0,87.0,96.2,6.7,7,87.0,5,0,,0,1.29,6.0,6.0,0.0,0.0,3.75,5.7,8.8,-3.1,-0.47,1.97,Matches
Ollie Watkins,eng ENG,FW,29-292,7,598.0,85.0,94.9,6.6,7,85.0,5,0,,0,1.29,6.0,6.0,0.0,0.0,2.81,5.7,9.0,-3.3,-0.5,0.78,Matches
John McGinn,sct SCO,"MF,FW",31-000,7,546.0,78.0,86.7,6.1,7,78.0,2,0,,0,1.29,6.0,5.0,1.0,0.16,2.31,5.3,8.1,-2.8,-0.46,0.62,Matches
Ezri Konsa,eng ENG,DF,27-360,6,515.0,86.0,81.7,5.7,6,86.0,5,0,,0,1.5,6.0,6.0,0.0,0.0,0.78,4.7,8.2,-3.5,-0.61,-0.38,Matches
Lucas Digne,fr FRA,DF,32-090,7,488.0,70.0,77.5,5.4,6,80.0,4,1,8.0,0,1.29,5.0,3.0,2.0,0.37,2.27,4.1,6.7,-2.6,-0.47,0.29,Matches
Tyrone Mings,eng ENG,DF,32-219,6,481.0,80.0,76.3,5.3,6,80.0,5,0,,0,1.0,1.0,6.0,-5.0,-0.94,-3.35,4.1,8.6,-4.5,-0.84,-1.28,Matches
Emiliano Martínez,ar ARG,GK,33-046,5,450.0,90.0,71.4,5.0,5,90.0,5,0,,0,1.6,6.0,4.0,2.0,0.4,1.9,4.6,5.6,-1.0,-0.2,1.19,Matches
Youri Tielemans,be BEL,MF,28-164,4,315.0,79.0,50.0,3.5,4,79.0,3,0,,0,0.5,0.0,4.0,-4.0,-1.14,-2.0,2.6,6.4,-3.8,-1.08,-1.09,Matches
Boubacar Kamara,fr FRA,MF,25-329,5,295.0,59.0,46.8,3.3,4,69.0,2,1,19.0,0,1.6,3.0,3.0,0.0,0.0,0.27,1.8,3.9,-2.1,-0.63,-0.16,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,6,283.0,47.0,44.9,3.1,3,66.0,0,3,28.0,1,1.33,4.0,3.0,1.0,0.32,0.84,3.1,4.6,-1.6,-0.5,0.08,Matches
Lamare Bogarde,nl NED,MF,21-286,6,281.0,47.0,44.6,3.1,3,84.0,0,3,10.0,1,1.33,5.0,2.0,3.0,0.96,1.99,3.2,3.4,-0.2,-0.06,0.87,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,6,299.0,50.0,47.5,3.3,2,64.0,0,4,43.0,1,1.33,2.0,3.0,-1.0,-0.3,-0.3,2.8,3.9,-1.1,-0.33,0.4,Matches
Pau Torres,es ESP,DF,28-275,4,256.0,64.0,40.6,2.8,2,90.0,2,2,38.0,3,1.5,5.0,3.0,2.0,0.7,1.43,3.1,3.2,-0.1,-0.05,0.83,Matches
Donyell Malen,nl NED,FW,26-282,7,234.0,33.0,37.1,2.6,2,83.0,0,5,14.0,0,1.29,2.0,5.0,-3.0,-1.15,-1.61,2.7,3.6,-1.0,-0.38,0.25,Matches
Marco Bizot,nl NED,GK,34-222,2,180.0,90.0,28.6,2.0,2,90.0,2,0,,5,0.5,0.0,3.0,-3.0,-1.5,-1.9,1.3,4.1,-2.8,-1.39,-1.19,Matches
Amadou Onana,be BEL,MF,24-063,3,154.0,51.0,24.4,1.7,2,77.0,1,1,1.0,0,1.33,0.0,1.0,-1.0,-0.58,-0.58,1.2,2.5,-1.4,-0.79,-0.33,Matches
Ian Maatsen,nl NED,DF,23-222,4,148.0,37.0,23.5,1.6,1,87.0,0,3,20.0,3,1.0,1.0,4.0,-3.0,-1.82,-2.2,1.8,3.0,-1.2,-0.75,-0.28,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,3,98.0,33.0,15.6,1.1,1,45.0,0,2,27.0,1,1.67,2.0,2.0,0.0,0.0,0.17,1.1,1.7,-0.5,-0.48,0.07,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,3,24.0,8.0,3.8,0.3,0,,0,3,8.0,1,2.33,0.0,0.0,0.0,0.0,0.15,0.2,0.6,-0.4,-1.34,-0.83,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,1,17.0,17.0,2.7,0.2,0,,0,1,17.0,2,0.0,0.0,1.0,-1.0,-5.29,-5.29,0.0,0.9,-0.9,-4.51,-4.08,Matches
Jadon Sancho,eng ENG,FW,25-207,1,9.0,9.0,1.4,0.1,0,,0,1,9.0,2,1.0,0.0,0.0,0.0,0.0,0.14,0.3,0.0,0.3,3.19,3.78,Matches
Ross Barkley,eng ENG,MF,31-317,1,7.0,7.0,1.1,0.1,0,,0,1,7.0,0,3.0,0.0,0.0,0.0,0.0,0.14,0.2,0.0,0.2,2.61,3.18,Matches
Samuel Iling-Junior,eng ENG,DF,22-014,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jamaldeen Jimoh,eng ENG,MF,19-016,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Travis Patterson,eng ENG,DF,20-012,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sam Proctor,eng ENG,GK,18-301,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Triston Rowe,eng ENG,DF,19-153,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
James Wright,eng ENG,GK,20-320,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.4,7,630.0,90.0,100.0,7.0,77,81.0,47,31,20.0,32,1.29,6.0,7.0,-1.0,-0.14,,5.9,9.7,-3.8,-0.54,,
Opponent Total,,,27.3,7,630.0,90.0,100.0,7.0,77,81.0,47,29,18.0,34,1.29,7.0,6.0,1.0,0.14,,9.7,5.9,3.8,0.54,,
