Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matthijs de Ligt,nl NED,DF,26-067,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,3.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.14,0.07,0.14,Matches
Bruno Fernandes,pt POR,MF,31-040,7,7,626.0,7.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,3.7,1.3,1.6,3.0,12.0,61.0,21.0,0.29,0.0,0.29,0.14,0.14,0.53,0.24,0.77,0.19,0.43,Matches
Luke Shaw,eng ENG,DF,30-098,7,7,605.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,8.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Bryan Mbeumo,cm CMR,MF,26-072,7,7,595.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.9,1.9,1.6,3.5,21.0,15.0,64.0,0.15,0.15,0.3,0.15,0.3,0.29,0.24,0.54,0.29,0.54,Matches
Altay Bayındır,tr TUR,GK,27-187,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Patrick Dorgu,dk DEN,DF,20-357,6,5,471.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.1,17.0,7.0,41.0,0.0,0.19,0.19,0.0,0.19,0.04,0.16,0.21,0.04,0.21,Matches
Leny Yoro,fr FRA,DF,19-339,7,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,5.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,6,5,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.8,2.7,30.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.38,0.17,0.55,0.38,0.55,Matches
Casemiro,br BRA,MF,33-237,6,5,326.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.2,1.2,0.0,22.0,6.0,0.28,0.0,0.28,0.28,0.28,0.29,0.06,0.34,0.29,0.34,Matches
Benjamin Šeško,si SVN,FW,22-140,7,4,387.0,4.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,0.2,1.8,3.0,5.0,17.0,0.47,0.0,0.47,0.47,0.47,0.37,0.05,0.42,0.37,0.42,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,6,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.6,14.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.34,0.06,0.4,0.34,0.4,Matches
Diogo Dalot,pt POR,DF,26-214,5,4,336.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,14.0,10.0,31.0,0.0,0.27,0.27,0.0,0.27,0.02,0.25,0.27,0.02,0.27,Matches
Mason Mount,eng ENG,MF,26-281,6,4,272.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,5.0,18.0,12.0,0.33,0.0,0.33,0.33,0.33,0.11,0.15,0.27,0.11,0.27,Matches
Manuel Ugarte,uy URU,MF,24-190,6,2,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Harry Maguire,eng ENG,DF,32-227,6,2,184.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,1.0,9.0,2.0,0.0,0.49,0.49,0.0,0.49,0.11,0.17,0.29,0.11,0.29,Matches
Noussair Mazraoui,ma MAR,DF,27-338,3,2,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Senne Lammens,be BEL,GK,23-103,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,5,0,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,3,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.96,0.9,0.96,Matches
Ayden Heaven,eng ENG,DF,19-026,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tyler Fredricson,eng ENG,DF,20-237,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tom Heaton,eng ENG,GK,39-186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego León,py PAR,DF,18-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
André Onana,cm CMR,GK,29-199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.3,7,77,630.0,7.0,7.0,4.0,11.0,6.0,1.0,3.0,8.0,1.0,13.6,11.2,8.1,19.4,148.0,290.0,289.0,1.0,0.57,1.57,0.86,1.43,1.94,1.16,3.1,1.61,2.77,
Opponent Total,,,26.1,7,77,630.0,7.0,11.0,8.0,19.0,11.0,0.0,0.0,21.0,1.0,9.9,9.9,7.4,17.3,95.0,216.0,210.0,1.57,1.14,2.71,1.57,2.71,1.41,1.06,2.47,1.41,2.47,
